============================================================================================================================================
DETAILED LINE-BY-LINE COMPARISON REPORT
REST API vs WebSocket - Every Symbol with Timestamps and Exact Values
============================================================================================================================================
Report Generated: 2025-12-03 00:57:57.909

Total USDT Perpetual Futures: 534

============================================================================================================================================
REST API BATCH CALL TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.091
Response Time: 2025-12-03 00:57:58.240
Latency:       148.97 ms
Symbols Retrieved: 534

============================================================================================================================================
WEBSOCKET STATE FILE TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.247
Response Time: 2025-12-03 00:57:58.249
Read Latency:  1.48 ms
Symbols Tracked: 534

============================================================================================================================================
DETAILED COMPARISON - ALL SYMBOLS
============================================================================================================================================

SYMBOL          REST FUNDING    WS FUNDING      FUNDING DIFF    REST PRICE      WS PRICE        PRICE DIFF      STATUS    
APTUSDT         -0.00021196     -0.00021196     0.0000        % $1.9798         $1.9797         0.0061        % ✅ MATCH   
ARBUSDT         0.00007370      0.00007370      0.0000        % $0.2132         $0.2132         0.0000        % ✅ MATCH   
ARCUSDT         0.00028341      None            N/A             0.0437          -0.00026        N/A             ⚠️ NULL   
ARIAUSDT        0.00005000      0.00005000      0.0000        % $0.0626         $0.0626         0.0000        % ✅ MATCH   
ARKMUSDT        0.00005618      0.00005618      0.0000        % $0.2326         $0.2326         0.0000        % ✅ MATCH   
ARKUSDT         0.00005000      0.00005000      0.0000        % $0.2899         $0.2899         0.0000        % ✅ MATCH   
ARPAUSDT        0.00010000      0.00010000      0.0000        % $0.0144         $0.0144         0.0000        % ✅ MATCH   
ARUSDT          -0.00032837     None            N/A             4.1481          0.208           N/A             ⚠️ NULL   
ASRUSDT         0.00005000      0.00005000      0.0000        % $1.3500         $1.3500         0.0000        % ✅ MATCH   
ASTERUSDT       0.00005000      None            N/A             1.0208          0.0541          N/A             ⚠️ NULL   
ASTRUSDT        -0.00038849     -0.00038849     0.0000        % $0.0132         $0.0132         0.0000        % ✅ MATCH   
ATAUSDT         0.00010000      0.00010000      0.0000        % $0.0211         $0.0211         0.0000        % ✅ MATCH   
ATHUSDT         0.00005000      0.00005000      0.0000        % $0.0144         $0.0144         0.0000        % ✅ MATCH   
ATOMUSDT        0.00003793      None            N/A             2.3651          0.098           N/A             ⚠️ NULL   
ATUSDT          -0.00508043     None            N/A             0.1413          -0.0235         N/A             ⚠️ NULL   
AUCTIONUSDT     -0.00008352     None            N/A             5.6735          0.224           N/A             ⚠️ NULL   
AUSDT           -0.00002741     -0.00002741     0.0000        % $0.1895         $0.1895         0.0000        % ✅ MATCH   
AVAAIUSDT       0.00020452      0.00020452      0.0000        % $0.0124         $0.0124         0.0000        % ✅ MATCH   
AVAUSDT         -0.00002657     -0.00002657     0.0000        % $0.3150         $0.3150         0.0000        % ✅ MATCH   
AVAXUSDT        0.00005398      None            N/A             13.6380         0.865           N/A             ⚠️ NULL   
AVNTUSDT        -0.00002913     -0.00002913     0.0000        % $0.3405         $0.3405         0.0002        % ✅ MATCH   
AWEUSDT         -0.00069576     None            N/A             0.0607          0.00408         N/A             ⚠️ NULL   
AXLUSDT         0.00005000      0.00005000      0.0000        % $0.1201         $0.1201         0.0000        % ✅ MATCH   
AXSUSDT         0.00010000      0.00010000      0.0000        % $1.0941         $1.0941         0.0000        % ✅ MATCH   
B2USDT          0.00008380      0.00008380      0.0000        % $0.5742         $0.5742         0.0000        % ✅ MATCH   
B3USDT          -0.00006230     -0.00006230     0.0000        % $0.0011         $0.0011         0.0000        % ✅ MATCH   
BABYUSDT        -0.00001884     -0.00001884     0.0000        % $0.0191         $0.0191         0.0000        % ✅ MATCH   
BANANAS31USDT   0.00002495      None            N/A             0.0040          0.000309        N/A             ⚠️ NULL   
BANANAUSDT      0.00000186      0.00000186      0.0000        % $8.7096         $8.7096         0.0000        % ✅ MATCH   
BANDUSDT        0.00010000      0.00010000      0.0000        % $0.4447         $0.4447         0.0000        % ✅ MATCH   
BANKUSDT        0.00005000      0.00005000      0.0000        % $0.0432         $0.0432         0.0001        % ✅ MATCH   
BANUSDT         0.00005000      0.00005000      0.0000        % $0.0629         $0.0629         0.0000        % ✅ MATCH   
BARDUSDT        0.00005000      0.00005000      0.0000        % $0.7417         $0.7417         0.0000        % ✅ MATCH   
BASUSDT         0.00005000      0.00005000      0.0000        % $0.0044         $0.0044         0.0128        % ✅ MATCH   
BATUSDT         0.00010000      0.00010000      0.0000        % $0.2393         $0.2393         0.0099        % ✅ MATCH   
BBUSDT          -0.00022804     -0.00022804     0.0000        % $0.0820         $0.0820         0.0000        % ✅ MATCH   
BCHUSDT         0.00002801      None            N/A             549.9300        27.85           N/A             ⚠️ NULL   
BDXNUSDT        0.00005000      0.00005000      0.0000        % $0.0485         $0.0485         0.0000        % ✅ MATCH   
BEAMXUSDT       0.00005000      0.00005000      0.0000        % $0.0033         $0.0033         0.0000        % ✅ MATCH   
BEATUSDT        0.00021898      None            N/A             0.8988          0.1412          N/A             ⚠️ NULL   
BELUSDT         0.00010000      0.00010000      0.0000        % $0.1459         $0.1459         0.0000        % ✅ MATCH   
BERAUSDT        -0.00102159     -0.00102159     0.0000        % $0.9370         $0.9370         0.0000        % ✅ MATCH   
BICOUSDT        -0.00001620     -0.00001620     0.0000        % $0.0548         $0.0548         0.0000        % ✅ MATCH   
BIDUSDT         0.00005000      0.00005000      0.0000        % $0.0332         $0.0332         0.0000        % ✅ MATCH   
BIGTIMEUSDT     0.00003121      0.00003121      0.0000        % $0.0240         $0.0240         0.0000        % ✅ MATCH   
BIOUSDT         -0.00000215     -0.00000215     0.0000        % $0.0532         $0.0532         0.0000        % ✅ MATCH   
BLESSUSDT       0.00005000      0.00005000      0.0000        % $0.0139         $0.0139         0.0072        % ✅ MATCH   
BLUAIUSDT       0.00005000      0.00005000      0.0000        % $0.0068         $0.0068         0.0000        % ✅ MATCH   
BLURUSDT        0.00010000      0.00010000      0.0000        % $0.0366         $0.0366         0.0000        % ✅ MATCH   
BMTUSDT         0.00005000      0.00005000      0.0000        % $0.0269         $0.0269         0.0000        % ✅ MATCH   
BNBUSDT         0.00000000      None            N/A             877.7604        51.42           N/A             ⚠️ NULL   
BNTUSDT         -0.00006136     -0.00006136     0.0000        % $0.4627         $0.4627         0.0002        % ✅ MATCH   
BOBUSDT         -0.00014819     -0.00014819     0.0000        % $0.0112         $0.0112         0.0079        % ✅ MATCH   
BOMEUSDT        0.00005000      0.00005000      0.0000        % $0.0007         $0.0007         0.0000        % ✅ MATCH   
BRETTUSDT       0.00005000      0.00005000      0.0000        % $0.0203         $0.0203         0.0000        % ✅ MATCH   
BROCCOLI714USDT 0.00005000      0.00005000      0.0000        % $0.0142         $0.0142         0.0000        % ✅ MATCH   
BROCCOLIF3BUSDT 0.00005000      0.00005000      0.0000        % $0.0063         $0.0063         0.0476        % ✅ MATCH   
BRUSDT          0.00017170      0.00017170      0.0000        % $0.0536         $0.0536         0.0000        % ✅ MATCH   
BSVUSDT         -0.00034993     -0.00034993     0.0000        % $20.7500        $20.7500        0.0000        % ✅ MATCH   
BTCDOMUSDT      0.00056623      0.00056623      0.0000        % $4580.5000      $4580.5000      0.0000        % ✅ MATCH   
BTCUSDT         0.00001082      None            N/A             91464.7000      4993.5          N/A             ⚠️ NULL   
BTRUSDT         0.00005000      0.00005000      0.0000        % $0.0316         $0.0316         0.0000        % ✅ MATCH   
BULLAUSDT       0.00005000      0.00005000      0.0000        % $0.0309         $0.0309         0.0000        % ✅ MATCH   
BUSDT           0.00020850      0.00020850      0.0000        % $0.2084         $0.2084         0.0000        % ✅ MATCH   
C98USDT         0.00010000      0.00010000      0.0000        % $0.0268         $0.0268         0.0000        % ✅ MATCH   
CAKEUSDT        0.00003698      None            N/A             2.3867          0.1369          N/A             ⚠️ NULL   
CARVUSDT        0.00005000      0.00005000      0.0000        % $0.1401         $0.1401         0.0000        % ✅ MATCH   
CATIUSDT        0.00005000      None            N/A             0.0625          0.00197         N/A             ⚠️ NULL   
CCUSDT          0.00005000      0.00005000      0.0000        % $0.0778         $0.0778         0.0000        % ✅ MATCH   
CELOUSDT        0.00010000      0.00010000      0.0000        % $0.1675         $0.1675         0.0000        % ✅ MATCH   
CELRUSDT        0.00010000      0.00010000      0.0000        % $0.0042         $0.0042         0.0000        % ✅ MATCH   
